country,centrality
Canada,0.13151851663300215
Guinea-Bissau,0.034149018881810655
Lithuania,0.0964078435786521
Saint Pierre and Miquelon,0.00583277268441591
Aruba,0.026346927246684273
Palestine,0.0042294556165428454
Argentina,0.08577277338177351
Bolivia,0.026674306380582862
Bahrain,0.09597617492738725
Saudi Arabia,0.12271067626540429
Cape Verde,0.05950749841596477
Slovenia,0.09404174778318468
Guatemala,0.018343251091427572
Bosnia and Herzegovina,0.03074929775600409
Guinea,0.007895426058145801
Germany,0.1451995807552845
Spain,0.14464145532070397
Netherlands,0.14426282401605722
Oman,0.009382684329626008
Martinique,0.02310306924643947
New Zealand,0.07404678036710548
Jersey,0.06964108217977867
Pakistan,0.02344080787985078
West Bank,0.008155154627089125
Macau,0.0797079200256474
United Arab Emirates,0.13605786307994608
India,0.13089041493180678
Azerbaijan,0.04697812315785704
Madagascar,0.01105826702639406
Saint Vincent and the Grenadines,0.023647604626861256
Kenya,0.004440990485707451
South Korea,0.11491646116508658
Tajikistan,0.004194282199771705
Turkey,0.1348012406429021
Czech Republic,0.1224555724634956
Saint Lucia,0.025777688377614072
French Polynesia,0.017248753947637686
France,0.14561710873978348
Bermuda,0.04312833330100606
Slovakia,0.10429993911635858
Peru,0.02660201365921886
Laos,0.00329511466178693
Norway,0.11443986262203672
Libya,0.01887600232241208
Singapore,0.09445252365769947
Montenegro,0.0021613743763676876
Virgin Islands,0.009550634327277848
China,0.09609754566213173
Armenia,0.035565898875886556
Dominican Republic,0.038592222961033124
Ukraine,0.10653672308985643
Finland,0.11799042731990093
Western Sahara,0.0022465009406568673
Indonesia,0.09869091550714588
United States,0.14522722433282703
Sweden,0.1298778898848224
Vietnam,0.011632783989490266
British Virgin Islands,0.009341517424365061
Mali,0.06244886805942772
Russia,0.1391614158586396
Bulgaria,0.10629133441039398
Romania,0.09939070099827872
Portugal,0.12128363184980986
South Africa,0.11474974211720984
Malaysia,0.10505242584572767
Senegal,0.09672317344720274
Mozambique,0.0036659426432716106
Japan,0.11603373023752314
Brazil,0.10716566337503348
Kuwait,0.045496907805754196
Panama,0.02616248520900177
Costa Rica,0.03685755431496206
Luxembourg,0.12477913033424609
Bahamas,0.011962790964894658
Gibraltar,0.01986056923112341
Ireland,0.12136772184401075
Ecuador,0.03610388176131402
Bangladesh,0.07760168464157237
Brunei,0.050692972150635646
Australia,0.10900738174709286
Iran,0.016657571276360594
Algeria,0.08475506113352249
Chile,0.043861810820852096
Puerto Rico,0.033727648421421674
Netherlands Antilles,0.03448558918956028
Thailand,0.10710566856811528
Haiti,0.013463288293521579
Belize,0.002255601397543993
Hong Kong,0.11684517366376523
Georgia,0.06732459630339806
Gambia,0.06634186353047877
Philippines,0.10559136428553298
Moldova,0.020707485028194715
Belgium,0.14070733482667305
Croatia,0.09798029213103344
Guernsey,0.0698159001561827
Switzerland,0.13800541501936642
Grenada,0.010261137711516134
Isle of Man,0.05438027218931461
Estonia,0.09646459226358245
Uruguay,0.04063857899027818
Mexico,0.07290684008271134
Lebanon,0.11095703185001406
Uzbekistan,0.06143752561214144
Egypt,0.07190113618646954
Colombia,0.03863048246148369
Reunion,0.027591403695623122
Taiwan,0.0945781140409608
Cyprus,0.10390146362047446
Barbados,0.035372427895442454
Qatar,0.12626718698133613
Italy,0.14250093155134527
Nepal,0.05720239373252036
Malta,0.1151903008284482
Maldives,0.08674998299794012
Suriname,0.0044962190639483875
Anguilla,0.0005238680643753975
Venezuela,0.03255127053060155
Israel,0.1271165732834833
Iceland,0.0984091596878118
Zambia,0.00949169682457829
Austria,0.13355176611198044
Jordan,0.08627028088617116
Denmark,0.12553961174120856
Kazakhstan,0.1110775331399185
Poland,0.12931334731342906
Mauritania,0.03018819444365904
Kyrgyzstan,0.06345603175649488
Iraq,0.0020329078234040216
New Caledonia,0.010482435992666113
Macedonia,0.057363229804919
Trinidad and Tobago,0.008556321568484576
Latvia,0.10235912106629921
Hungary,0.12073674743352132
Belarus,0.0646914684394168
Morocco,0.09747572041937691
Tunisia,0.09454362106221131
Serbia,0.09502768812721095
United Kingdom,0.14536324803059733
Greece,0.1305093408443946
Sri Lanka,0.081582010121746
Namibia,0.0017822282646394137
