,org,dest,valor_norm,day
0,Algeria,Austria,1.0,1
12,Algeria,Belgium,1.0,1
24,Algeria,France,15.0,1
36,Algeria,Germany,2.0,1
48,Algeria,Italy,3.0,1
61,Algeria,Senegal,1.0,1
73,Algeria,Spain,3.0,1
86,Algeria,United Arab Emirates,1.0,1
98,Algeria,United Kingdom,1.0,1
99,Argentina,Bolivia,1.0,1
111,Argentina,Brazil,19.5,1
124,Argentina,Colombia,2.5,1
148,Argentina,Italy,1.5,1
171,Argentina,Netherlands,1.5,1
184,Argentina,Spain,6.0,1
196,Argentina,United Kingdom,2.0,1
208,Argentina,United States,12.5,1
215,Armenia,Qatar,1.0,1
221,Armenia,Russia,16.0,1
227,Armenia,Ukraine,1.0,1
233,Armenia,United Arab Emirates,3.0,1
235,Australia,Canada,2.5,1
255,Australia,China,2.0,1
275,Australia,Hong Kong,15.5,1
314,Australia,Italy,1.0,1
334,Australia,Japan,5.5,1
354,Australia,Malaysia,19.0,1
393,Australia,New Zealand,55.0,1
413,Australia,Philippines,4.5,1
433,Australia,Qatar,5.5,1
454,Australia,Singapore,38.5,1
474,Australia,South Korea,4.5,1
494,Australia,Sri Lanka,1.0,1
514,Australia,Taiwan,4.0,1
534,Australia,Thailand,7.0,1
554,Australia,United Arab Emirates,11.0,1
574,Australia,United Kingdom,1.0,1
594,Australia,United States,18.5,1
595,Austria,Algeria,1.0,1
633,Austria,Belarus,1.5,1
671,Austria,Belgium,3.5,1
747,Austria,Croatia,1.0,1
785,Austria,Czech Republic,1.5,1
823,Austria,Denmark,4.5,1
861,Austria,Finland,2.0,1
899,Austria,France,12.5,1
937,Austria,Germany,59.0,1
975,Austria,Greece,3.5,1
1013,Austria,Hungary,3.0,1
1052,Austria,Ireland,2.0,1
1090,Austria,Israel,5.0,1
1128,Austria,Italy,12.0,1
1203,Austria,Latvia,2.0,1
1241,Austria,Luxembourg,1.0,1
1279,Austria,Malta,1.0,1
1317,Austria,Netherlands,10.0,1
1355,Austria,Norway,4.0,1
1393,Austria,Poland,5.0,1
1431,Austria,Portugal,4.5,1
1469,Austria,Qatar,3.0,1
1507,Austria,Romania,1.5,1
1545,Austria,Russia,9.0,1
1583,Austria,Serbia,1.0,1
1659,Austria,Spain,11.0,1
1697,Austria,Sweden,3.5,1
1735,Austria,Switzerland,14.5,1
1773,Austria,Thailand,3.0,1
1811,Austria,Turkey,4.0,1
1849,Austria,Ukraine,4.5,1
1887,Austria,United Arab Emirates,4.0,1
1925,Austria,United Kingdom,21.0,1
1963,Austria,United States,3.0,1
1964,Bahrain,Bangladesh,1.5,1
1979,Bahrain,France,1.0,1
1994,Bahrain,Germany,2.5,1
2009,Bahrain,Greece,1.0,1
2038,Bahrain,India,8.0,1
2053,Bahrain,Netherlands,1.0,1
2068,Bahrain,Philippines,1.0,1
2083,Bahrain,Russia,2.0,1
2098,Bahrain,Saudi Arabia,10.0,1
2113,Bahrain,Sri Lanka,2.0,1
2142,Bahrain,Turkey,1.5,1
2157,Bahrain,United Arab Emirates,26.0,1
2172,Bahrain,United Kingdom,3.0,1
2174,Bangladesh,Bahrain,1.5,1
2182,Bangladesh,India,8.5,1
2190,Bangladesh,Malaysia,1.0,1
2198,Bangladesh,Qatar,3.0,1
2220,Bangladesh,Sri Lanka,1.0,1
2228,Bangladesh,Thailand,1.0,1
2236,Bangladesh,United Arab Emirates,6.5,1
2244,Barbados,Canada,1.0,1
2251,Barbados,United States,5.5,1
2252,Belarus,Austria,1.5,1
2264,Belarus,Belgium,1.0,1
2276,Belarus,Czech Republic,1.0,1
2288,Belarus,Finland,1.0,1
2301,Belarus,Germany,3.5,1
2346,Belarus,Latvia,1.0,1
2358,Belarus,Netherlands,1.0,1
2370,Belarus,Poland,1.0,1
2382,Belarus,Russia,11.0,1
2416,Belarus,United Kingdom,1.0,1
2417,Belgium,Algeria,1.0,1
2457,Belgium,Austria,3.5,1
2497,Belgium,Belarus,1.0,1
2539,Belgium,Croatia,1.0,1
2579,Belgium,Czech Republic,3.0,1
2619,Belgium,Denmark,3.0,1
2660,Belgium,Estonia,1.0,1
2700,Belgium,Finland,1.5,1
2740,Belgium,France,11.5,1
2780,Belgium,Germany,13.5,1
2820,Belgium,Greece,2.0,1
2860,Belgium,Hong Kong,1.0,1
2900,Belgium,Hungary,2.5,1
2980,Belgium,Ireland,5.5,1
3021,Belgium,Italy,18.0,1
3061,Belgium,Latvia,3.0,1
3101,Belgium,Malta,2.0,1
3141,Belgium,Morocco,2.0,1
3181,Belgium,Netherlands,2.0,1
3221,Belgium,Norway,2.0,1
3261,Belgium,Poland,2.5,1
3301,Belgium,Portugal,9.0,1
3341,Belgium,Qatar,2.0,1
3420,Belgium,Russia,4.5,1
3460,Belgium,Senegal,1.0,1
3500,Belgium,Serbia,1.0,1
3540,Belgium,Slovakia,1.0,1
3619,Belgium,Spain,15.5,1
3659,Belgium,Sweden,4.0,1
3699,Belgium,Switzerland,8.0,1
3739,Belgium,Turkey,3.0,1
3779,Belgium,United Arab Emirates,2.5,1
3819,Belgium,United Kingdom,12.0,1
3859,Belgium,United States,3.5,1
3860,Bolivia,Argentina,1.0,1
3866,Bolivia,Brazil,2.5,1
3874,Bolivia,United States,2.0,1
3875,Brazil,Argentina,19.5,1
3936,Brazil,Bolivia,2.5,1
3957,Brazil,Canada,1.0,1
3978,Brazil,Colombia,3.5,1
4000,Brazil,Dominican Republic,1.5,1
4021,Brazil,France,3.0,1
4042,Brazil,Germany,1.5,1
4064,Brazil,Italy,3.0,1
4086,Brazil,Netherlands,1.0,1
4107,Brazil,Portugal,6.0,1
4128,Brazil,Qatar,1.5,1
4150,Brazil,Spain,4.5,1
4171,Brazil,Switzerland,1.0,1
4192,Brazil,United Arab Emirates,1.0,1
4213,Brazil,United Kingdom,2.0,1
4234,Brazil,United States,22.0,1
4265,Canada,Australia,2.5,1
4297,Canada,Barbados,1.0,1
4358,Canada,Brazil,1.0,1
4419,Canada,Colombia,2.0,1
4450,Canada,Costa Rica,3.5,1
4481,Canada,Denmark,1.0,1
4513,Canada,France,7.0,1
4544,Canada,Germany,6.0,1
4575,Canada,Hong Kong,6.5,1
4607,Canada,India,1.5,1
4669,Canada,Italy,1.0,1
4790,Canada,Netherlands,3.0,1
4821,Canada,New Zealand,2.0,1
4853,Canada,Poland,1.0,1
4884,Canada,Portugal,1.5,1
4917,Canada,South Korea,3.0,1
4948,Canada,Spain,2.0,1
4979,Canada,Switzerland,3.0,1
5010,Canada,Taiwan,4.0,1
5072,Canada,United Arab Emirates,3.0,1
5103,Canada,United Kingdom,13.0,1
5134,Canada,United States,391.5,1
5135,China,Australia,2.0,1
5200,China,Germany,1.0,1
5245,China,Japan,6.5,1
5268,China,Malaysia,6.5,1
5291,China,Philippines,3.0,1
5314,China,Russia,1.0,1
5336,China,Singapore,4.0,1
5358,China,South Korea,10.5,1
5402,China,Switzerland,1.0,1
5424,China,Taiwan,7.0,1
5446,China,Thailand,6.5,1
5468,China,United Arab Emirates,1.0,1
5490,China,United Kingdom,1.0,1
5512,China,United States,3.5,1
5513,Colombia,Argentina,2.5,1
5534,Colombia,Brazil,3.5,1
5545,Colombia,Canada,2.0,1
5556,Colombia,Costa Rica,2.0,1
5568,Colombia,France,1.0,1
5580,Colombia,Germany,1.0,1
5611,Colombia,Spain,6.0,1
5632,Colombia,United States,30.5,1
5639,Costa Rica,Canada,3.5,1
5646,Costa Rica,Colombia,2.0,1
5653,Costa Rica,Mexico,1.5,1
5666,Costa Rica,Spain,1.0,1
5673,Costa Rica,Switzerland,1.0,1
5686,Costa Rica,United States,33.5,1
5687,Croatia,Austria,1.0,1
5700,Croatia,Belgium,1.0,1
5713,Croatia,Denmark,1.0,1
5726,Croatia,France,2.0,1
5739,Croatia,Germany,6.5,1
5752,Croatia,Netherlands,1.0,1
5765,Croatia,Poland,1.0,1
5778,Croatia,Qatar,2.0,1
5791,Croatia,Russia,1.0,1
5804,Croatia,Switzerland,2.0,1
5817,Croatia,United Arab Emirates,1.0,1
5830,Croatia,United Kingdom,2.0,1
5831,Czech Republic,Austria,1.5,1
5859,Czech Republic,Belarus,1.0,1
5887,Czech Republic,Belgium,3.0,1
5915,Czech Republic,Denmark,1.5,1
5943,Czech Republic,Finland,1.5,1
5971,Czech Republic,France,7.5,1
5999,Czech Republic,Germany,7.5,1
6054,Czech Republic,Hungary,1.5,1
6082,Czech Republic,Ireland,3.0,1
6110,Czech Republic,Israel,2.5,1
6138,Czech Republic,Italy,15.0,1
6166,Czech Republic,Latvia,2.0,1
6194,Czech Republic,Malta,1.0,1
6222,Czech Republic,Netherlands,5.0,1
6250,Czech Republic,Norway,1.5,1
6278,Czech Republic,Poland,3.0,1
6307,Czech Republic,Qatar,2.0,1
6335,Czech Republic,Russia,14.0,1
6363,Czech Republic,South Korea,1.0,1
6391,Czech Republic,Spain,4.0,1
6419,Czech Republic,Sweden,4.0,1
6447,Czech Republic,Switzerland,5.5,1
6475,Czech Republic,Turkey,1.0,1
6503,Czech Republic,Ukraine,2.0,1
6531,Czech Republic,United Arab Emirates,1.5,1
6559,Czech Republic,United Kingdom,16.5,1
6560,Denmark,Austria,4.5,1
6594,Denmark,Belgium,3.0,1
6628,Denmark,Canada,1.0,1
6662,Denmark,Croatia,1.0,1
6696,Denmark,Czech Republic,1.5,1
6731,Denmark,Estonia,2.0,1
6765,Denmark,Finland,6.0,1
6799,Denmark,France,6.5,1
6833,Denmark,Germany,17.5,1
6867,Denmark,Greece,2.5,1
6901,Denmark,Iceland,3.5,1
6968,Denmark,Ireland,3.0,1
7003,Denmark,Italy,9.5,1
7037,Denmark,Latvia,4.0,1
7071,Denmark,Luxembourg,2.0,1
7105,Denmark,Netherlands,16.0,1
7139,Denmark,Norway,17.0,1
7173,Denmark,Poland,8.0,1
7207,Denmark,Portugal,1.0,1
7241,Denmark,Qatar,3.0,1
7275,Denmark,Russia,3.0,1
7309,Denmark,Serbia,1.0,1
7343,Denmark,Spain,9.5,1
7377,Denmark,Sweden,12.0,1
7411,Denmark,Switzerland,6.0,1
7445,Denmark,Thailand,1.0,1
7479,Denmark,Turkey,2.5,1
7513,Denmark,Ukraine,1.0,1
7547,Denmark,United Arab Emirates,1.5,1
7581,Denmark,United Kingdom,31.5,1
7615,Denmark,United States,2.5,1
7620,Dominican Republic,Brazil,1.5,1
7631,Dominican Republic,Germany,1.5,1
7636,Estonia,Belgium,1.0,1
7647,Estonia,Denmark,2.0,1
7658,Estonia,Finland,4.5,1
7669,Estonia,Germany,1.5,1
7680,Estonia,Latvia,5.0,1
7691,Estonia,Netherlands,1.0,1
7712,Estonia,Russia,2.0,1
7723,Estonia,Sweden,3.5,1
7734,Estonia,Ukraine,1.0,1
7745,Estonia,United Kingdom,2.0,1
7746,Finland,Austria,2.0,1
7778,Finland,Belarus,1.0,1
7810,Finland,Belgium,1.5,1
7842,Finland,Czech Republic,1.5,1
7874,Finland,Denmark,6.0,1
7906,Finland,Estonia,4.5,1
7938,Finland,France,4.5,1
7970,Finland,Germany,20.0,1
8002,Finland,Hong Kong,2.0,1
8034,Finland,Hungary,2.5,1
8066,Finland,Iceland,1.0,1
8098,Finland,India,1.0,1
8130,Finland,Ireland,1.0,1
8162,Finland,Italy,4.0,1
8194,Finland,Japan,1.0,1
8226,Finland,Latvia,8.0,1
8258,Finland,Netherlands,5.0,1
8290,Finland,Norway,4.5,1
8322,Finland,Poland,4.0,1
8354,Finland,Portugal,2.0,1
8386,Finland,Qatar,2.0,1
8418,Finland,Russia,9.5,1
8450,Finland,Singapore,1.0,1
8482,Finland,South Korea,1.0,1
8514,Finland,Spain,5.0,1
8546,Finland,Sweden,15.0,1
8578,Finland,Switzerland,4.0,1
8641,Finland,Thailand,2.0,1
8673,Finland,United Arab Emirates,1.5,1
8705,Finland,United Kingdom,9.0,1
8737,Finland,United States,3.0,1
8738,France,Algeria,15.0,1
8793,France,Austria,12.5,1
8846,France,Bahrain,1.0,1
8951,France,Belgium,11.5,1
9004,France,Brazil,3.0,1
9057,France,Canada,7.0,1
9111,France,Colombia,1.0,1
9164,France,Croatia,2.0,1
9217,France,Czech Republic,7.5,1
9270,France,Denmark,6.5,1
9324,France,Finland,4.5,1
9377,France,Germany,47.0,1
9430,France,Greece,6.0,1
9483,France,Hong Kong,2.0,1
9536,France,Hungary,5.0,1
9589,France,Iceland,1.5,1
9642,France,India,5.5,1
9695,France,Ireland,14.0,1
9748,France,Israel,7.5,1
9801,France,Italy,73.0,1
9854,France,Japan,3.5,1
9907,France,Latvia,2.0,1
9960,France,Luxembourg,3.0,1
10013,France,Malta,1.0,1
10066,France,Morocco,11.0,1
10119,France,Netherlands,25.0,1
10172,France,Norway,5.5,1
10225,France,Poland,6.5,1
10278,France,Portugal,42.0,1
10331,France,Qatar,3.0,1
10436,France,Russia,17.0,1
10489,France,Saudi Arabia,1.0,1
10542,France,Senegal,3.5,1
10595,France,Serbia,3.0,1
10648,France,Singapore,2.0,1
10701,France,Slovakia,1.0,1
10755,France,South Korea,3.0,1
10808,France,Spain,72.0,1
10861,France,Sweden,6.5,1
10914,France,Switzerland,30.0,1
10967,France,Taiwan,1.5,1
11020,France,Thailand,3.0,1
11073,France,Turkey,4.5,1
11126,France,Ukraine,1.0,1
11179,France,United Arab Emirates,9.0,1
11232,France,United Kingdom,84.5,1
11285,France,United States,33.5,1
11288,French Polynesia,New Zealand,1.0,1
11291,French Polynesia,United States,4.0,1
11292,Germany,Algeria,2.0,1
11344,Germany,Austria,59.0,1
11396,Germany,Bahrain,2.5,1
11499,Germany,Belarus,3.5,1
11551,Germany,Belgium,13.5,1
11603,Germany,Brazil,1.5,1
11655,Germany,Canada,6.0,1
11707,Germany,China,1.0,1
11759,Germany,Colombia,1.0,1
11811,Germany,Croatia,6.5,1
11863,Germany,Czech Republic,7.5,1
11915,Germany,Denmark,17.5,1
11967,Germany,Dominican Republic,1.5,1
12019,Germany,Estonia,1.5,1
12071,Germany,Finland,20.0,1
12123,Germany,France,47.0,1
12175,Germany,Greece,8.5,1
12227,Germany,Hong Kong,5.0,1
12279,Germany,Hungary,17.5,1
12331,Germany,Iceland,3.0,1
12383,Germany,India,7.0,1
12435,Germany,Ireland,16.5,1
12487,Germany,Israel,8.0,1
12539,Germany,Italy,81.0,1
12642,Germany,Kazakhstan,1.5,1
12694,Germany,Latvia,12.5,1
12746,Germany,Luxembourg,6.0,1
12798,Germany,Malaysia,1.5,1
12850,Germany,Malta,6.5,1
12902,Germany,Morocco,1.0,1
12954,Germany,Netherlands,39.0,1
13006,Germany,Norway,14.0,1
13058,Germany,Poland,41.5,1
13110,Germany,Portugal,33.0,1
13162,Germany,Qatar,6.0,1
13214,Germany,Romania,4.0,1
13266,Germany,Russia,47.5,1
13318,Germany,Saudi Arabia,1.5,1
13370,Germany,Serbia,6.5,1
13422,Germany,Singapore,6.0,1
13525,Germany,South Africa,3.0,1
13577,Germany,South Korea,4.0,1
13629,Germany,Spain,80.0,1
13681,Germany,Sweden,23.5,1
13733,Germany,Switzerland,58.0,1
13785,Germany,Thailand,5.0,1
13837,Germany,Turkey,21.5,1
13889,Germany,Ukraine,12.5,1
13941,Germany,United Arab Emirates,15.0,1
13993,Germany,United Kingdom,110.5,1
14045,Germany,United States,30.5,1
14072,Greece,Austria,3.5,1
14099,Greece,Bahrain,1.0,1
14126,Greece,Belgium,2.0,1
14154,Greece,Denmark,2.5,1
14181,Greece,France,6.0,1
14208,Greece,Germany,8.5,1
14235,Greece,Hungary,2.0,1
14288,Greece,Ireland,1.0,1
14316,Greece,Italy,11.5,1
14343,Greece,Netherlands,3.5,1
14370,Greece,Poland,3.0,1
14397,Greece,Qatar,2.5,1
14425,Greece,Russia,2.5,1
14453,Greece,Serbia,2.0,1
14480,Greece,Spain,5.0,1
14508,Greece,Switzerland,5.5,1
14535,Greece,Turkey,1.0,1
14563,Greece,United Arab Emirates,2.5,1
14590,Greece,United Kingdom,10.5,1
14617,Greece,United States,1.0,1
14618,Hong Kong,Australia,15.5,1
14650,Hong Kong,Belgium,1.0,1
14681,Hong Kong,Canada,6.5,1
14742,Hong Kong,Finland,2.0,1
14773,Hong Kong,France,2.0,1
14804,Hong Kong,Germany,5.0,1
14835,Hong Kong,India,15.0,1
14897,Hong Kong,Italy,2.0,1
14928,Hong Kong,Japan,27.5,1
14991,Hong Kong,Malaysia,16.0,1
15022,Hong Kong,Netherlands,2.0,1
15053,Hong Kong,New Zealand,3.0,1
15084,Hong Kong,Philippines,18.0,1
15115,Hong Kong,Qatar,5.0,1
15146,Hong Kong,Russia,2.5,1
15178,Hong Kong,Singapore,23.0,1
15210,Hong Kong,South Korea,24.5,1
15272,Hong Kong,Switzerland,2.0,1
15303,Hong Kong,Taiwan,56.5,1
15334,Hong Kong,Thailand,24.5,1
15365,Hong Kong,United Arab Emirates,10.0,1
15396,Hong Kong,United Kingdom,11.0,1
15427,Hong Kong,United States,27.5,1
15428,Hungary,Austria,3.0,1
15455,Hungary,Belgium,2.5,1
15481,Hungary,Czech Republic,1.5,1
15507,Hungary,Finland,2.5,1
15533,Hungary,France,5.0,1
15559,Hungary,Germany,17.5,1
15585,Hungary,Greece,2.0,1
15611,Hungary,Ireland,2.0,1
15637,Hungary,Israel,3.0,1
15663,Hungary,Italy,9.5,1
15714,Hungary,Netherlands,5.5,1
15740,Hungary,Norway,2.0,1
15766,Hungary,Poland,4.5,1
15792,Hungary,Portugal,1.5,1
15818,Hungary,Qatar,2.0,1
15844,Hungary,Russia,5.5,1
15896,Hungary,Spain,6.0,1
15922,Hungary,Sweden,4.0,1
15948,Hungary,Switzerland,4.0,1
15974,Hungary,Turkey,1.0,1
16000,Hungary,Ukraine,1.5,1
16026,Hungary,United Arab Emirates,2.5,1
16052,Hungary,United Kingdom,16.5,1
16068,Iceland,Denmark,3.5,1
16083,Iceland,Finland,1.0,1
16098,Iceland,France,1.5,1
16113,Iceland,Germany,3.0,1
16128,Iceland,Ireland,1.0,1
16144,Iceland,Latvia,1.0,1
16159,Iceland,Netherlands,2.0,1
16174,Iceland,Norway,1.0,1
16189,Iceland,Poland,3.0,1
16204,Iceland,Sweden,1.5,1
16219,Iceland,Switzerland,1.0,1
16234,Iceland,United Kingdom,12.0,1
16282,India,Bahrain,8.0,1
16315,India,Bangladesh,8.5,1
16380,India,Canada,1.5,1
16415,India,Finland,1.0,1
16448,India,France,5.5,1
16481,India,Germany,7.0,1
16515,India,Hong Kong,15.0,1
16580,India,Italy,2.5,1
16614,India,Kazakhstan,1.5,1
16647,India,Malaysia,19.0,1
16680,India,Netherlands,3.0,1
16745,India,Poland,1.0,1
16778,India,Qatar,16.0,1
16811,India,Russia,3.0,1
16844,India,Saudi Arabia,5.0,1
16877,India,Singapore,25.5,1
16910,India,South Africa,1.0,1
16943,India,South Korea,2.0,1
16977,India,Sri Lanka,13.5,1
17042,India,Switzerland,3.0,1
17076,India,Thailand,26.5,1
17142,India,United Arab Emirates,62.5,1
17175,India,United Kingdom,13.0,1
17208,India,United States,9.0,1
17210,Indonesia,Malaysia,4.5,1
17216,Indonesia,Singapore,2.0,1
17223,Indonesia,Thailand,1.0,1
17224,Ireland,Austria,2.0,1
17250,Ireland,Belgium,5.5,1
17301,Ireland,Czech Republic,3.0,1
17327,Ireland,Denmark,3.0,1
17353,Ireland,Finland,1.0,1
17379,Ireland,France,14.0,1
17405,Ireland,Germany,16.5,1
17431,Ireland,Greece,1.0,1
17457,Ireland,Hungary,2.0,1
17483,Ireland,Iceland,1.0,1
17509,Ireland,Italy,10.0,1
17535,Ireland,Latvia,2.0,1
17561,Ireland,Luxembourg,2.0,1
17587,Ireland,Malta,1.0,1
17613,Ireland,Netherlands,12.0,1
17639,Ireland,Norway,1.0,1
17665,Ireland,Poland,7.0,1
17691,Ireland,Portugal,5.0,1
17717,Ireland,Qatar,1.0,1
17768,Ireland,Spain,13.0,1
17794,Ireland,Sweden,2.0,1
17820,Ireland,Switzerland,3.5,1
17846,Ireland,United Arab Emirates,2.5,1
17872,Ireland,United Kingdom,118.5,1
17898,Ireland,United States,17.5,1
17899,Israel,Austria,5.0,1
17958,Israel,Czech Republic,2.5,1
17997,Israel,France,7.5,1
18017,Israel,Germany,8.0,1
18075,Israel,Hungary,3.0,1
18115,Israel,Italy,9.0,1
18154,Israel,Netherlands,3.0,1
18174,Israel,Poland,3.5,1
18213,Israel,Romania,1.0,1
18233,Israel,Russia,5.5,1
18253,Israel,Spain,3.5,1
18273,Israel,Switzerland,2.5,1
18294,Israel,Turkey,3.0,1
18314,Israel,Ukraine,3.5,1
18334,Israel,United Kingdom,6.0,1
18354,Israel,United States,8.0,1
18355,Italy,Algeria,3.0,1
18404,Italy,Argentina,1.5,1
18453,Italy,Australia,1.0,1
18502,Italy,Austria,12.0,1
18552,Italy,Belgium,18.0,1
18601,Italy,Brazil,3.0,1
18650,Italy,Canada,1.0,1
18747,Italy,Czech Republic,15.0,1
18796,Italy,Denmark,9.5,1
18845,Italy,Finland,4.0,1
18894,Italy,France,73.0,1
18943,Italy,Germany,81.0,1
18992,Italy,Greece,11.5,1
19041,Italy,Hong Kong,2.0,1
19090,Italy,Hungary,9.5,1
19139,Italy,India,2.5,1
19188,Italy,Ireland,10.0,1
19237,Italy,Israel,9.0,1
19287,Italy,Latvia,2.0,1
19336,Italy,Luxembourg,7.0,1
19385,Italy,Malta,9.5,1
19435,Italy,Netherlands,29.0,1
19533,Italy,Poland,15.0,1
19582,Italy,Portugal,20.5,1
19631,Italy,Qatar,8.0,1
19680,Italy,Romania,4.0,1
19729,Italy,Russia,32.0,1
19778,Italy,Saudi Arabia,1.5,1
19827,Italy,Senegal,1.0,1
19876,Italy,Serbia,3.0,1
19925,Italy,Singapore,2.0,1
19974,Italy,Slovakia,1.0,1
20023,Italy,South Africa,1.0,1
20072,Italy,South Korea,4.0,1
20121,Italy,Spain,71.5,1
20170,Italy,Sweden,4.0,1
20219,Italy,Switzerland,19.5,1
20268,Italy,Taiwan,1.0,1
20317,Italy,Thailand,2.0,1
20366,Italy,Turkey,5.0,1
20415,Italy,Ukraine,2.0,1
20464,Italy,United Arab Emirates,9.0,1
20513,Italy,United Kingdom,90.5,1
20562,Italy,United States,13.5,1
20563,Japan,Australia,5.5,1
20588,Japan,China,6.5,1
20611,Japan,Finland,1.0,1
20634,Japan,France,3.5,1
20658,Japan,Hong Kong,27.5,1
20703,Japan,Macau,5.0,1
20726,Japan,Malaysia,5.5,1
20749,Japan,Netherlands,1.0,1
20772,Japan,New Zealand,1.0,1
20795,Japan,Philippines,12.0,1
20819,Japan,Singapore,13.5,1
20842,Japan,South Korea,55.5,1
20866,Japan,Taiwan,46.0,1
20889,Japan,Thailand,17.5,1
20912,Japan,United Arab Emirates,1.5,1
20935,Japan,United Kingdom,3.5,1
20958,Japan,United States,10.5,1
20960,Kazakhstan,Germany,1.5,1
20973,Kazakhstan,India,1.5,1
20997,Kazakhstan,Russia,4.0,1
21009,Kazakhstan,South Korea,1.0,1
21021,Kazakhstan,Thailand,1.0,1
21033,Kazakhstan,Turkey,1.5,1
21045,Kazakhstan,Ukraine,1.5,1
21057,Kazakhstan,United Arab Emirates,4.0,1
21058,Latvia,Austria,2.0,1
21082,Latvia,Belarus,1.0,1
21106,Latvia,Belgium,3.0,1
21130,Latvia,Czech Republic,2.0,1
21154,Latvia,Denmark,4.0,1
21178,Latvia,Estonia,5.0,1
21202,Latvia,Finland,8.0,1
21226,Latvia,France,2.0,1
21250,Latvia,Germany,12.5,1
21274,Latvia,Iceland,1.0,1
21298,Latvia,Ireland,2.0,1
21323,Latvia,Italy,2.0,1
21347,Latvia,Netherlands,2.0,1
21371,Latvia,Norway,2.5,1
21395,Latvia,Poland,2.0,1
21419,Latvia,Russia,12.5,1
21443,Latvia,Spain,3.0,1
21467,Latvia,Sweden,5.0,1
21491,Latvia,Switzerland,1.0,1
21515,Latvia,Ukraine,3.0,1
21540,Latvia,United Kingdom,9.0,1
21541,Luxembourg,Austria,1.0,1
21572,Luxembourg,Denmark,2.0,1
21588,Luxembourg,France,3.0,1
21604,Luxembourg,Germany,6.0,1
21636,Luxembourg,Ireland,2.0,1
21652,Luxembourg,Italy,7.0,1
21668,Luxembourg,Netherlands,2.5,1
21684,Luxembourg,Poland,1.5,1
21700,Luxembourg,Portugal,6.5,1
21747,Luxembourg,Spain,3.5,1
21763,Luxembourg,Switzerland,4.5,1
21809,Luxembourg,United Kingdom,6.5,1
21825,Luxembourg,United States,1.5,1
21842,Macau,Japan,5.0,1
21851,Macau,Malaysia,5.5,1
21860,Macau,Philippines,5.0,1
21870,Macau,Singapore,2.0,1
21879,Macau,South Korea,7.0,1
21888,Macau,Taiwan,17.5,1
21897,Macau,Thailand,3.5,1
21898,Malaysia,Australia,19.0,1
21919,Malaysia,Bangladesh,1.0,1
21940,Malaysia,China,6.5,1
21961,Malaysia,Germany,1.5,1
21982,Malaysia,Hong Kong,16.0,1
22003,Malaysia,India,19.0,1
22024,Malaysia,Indonesia,4.5,1
22045,Malaysia,Japan,5.5,1
22066,Malaysia,Macau,5.5,1
22087,Malaysia,Netherlands,1.0,1
22108,Malaysia,New Zealand,1.0,1
22129,Malaysia,Philippines,11.0,1
22150,Malaysia,Qatar,3.0,1
22191,Malaysia,Singapore,53.0,1
22212,Malaysia,South Korea,15.0,1
22233,Malaysia,Sri Lanka,5.0,1
22254,Malaysia,Taiwan,9.5,1
22275,Malaysia,Thailand,22.5,1
22296,Malaysia,United Arab Emirates,4.5,1
22317,Malaysia,United Kingdom,3.0,1
22318,Malta,Austria,1.0,1
22333,Malta,Belgium,2.0,1
22348,Malta,Czech Republic,1.0,1
22363,Malta,France,1.0,1
22378,Malta,Germany,6.5,1
22393,Malta,Ireland,1.0,1
22408,Malta,Italy,9.5,1
22424,Malta,Russia,1.0,1
22453,Malta,Serbia,1.0,1
22468,Malta,Spain,1.5,1
22483,Malta,Switzerland,1.5,1
22499,Malta,United Kingdom,9.5,1
22503,Mexico,Costa Rica,1.5,1
22509,Mexico,United States,12.0,1
22520,Morocco,Belgium,2.0,1
22532,Morocco,France,11.0,1
22543,Morocco,Germany,1.0,1
22564,Morocco,Netherlands,1.5,1
22575,Morocco,Portugal,3.0,1
22596,Morocco,Russia,1.0,1
22627,Morocco,Spain,3.0,1
22638,Morocco,Switzerland,1.0,1
22650,Netherlands,Argentina,1.5,1
22702,Netherlands,Austria,10.0,1
22753,Netherlands,Bahrain,1.0,1
22804,Netherlands,Belarus,1.0,1
22855,Netherlands,Belgium,2.0,1
22906,Netherlands,Brazil,1.0,1
22957,Netherlands,Canada,3.0,1
23060,Netherlands,Croatia,1.0,1
23111,Netherlands,Czech Republic,5.0,1
23162,Netherlands,Denmark,16.0,1
23213,Netherlands,Estonia,1.0,1
23264,Netherlands,Finland,5.0,1
23315,Netherlands,France,25.0,1
23366,Netherlands,Germany,39.0,1
23417,Netherlands,Greece,3.5,1
23468,Netherlands,Hong Kong,2.0,1
23519,Netherlands,Hungary,5.5,1
23570,Netherlands,Iceland,2.0,1
23621,Netherlands,India,3.0,1
23672,Netherlands,Ireland,12.0,1
23723,Netherlands,Israel,3.0,1
23774,Netherlands,Italy,29.0,1
23825,Netherlands,Japan,1.0,1
23926,Netherlands,Latvia,2.0,1
23977,Netherlands,Luxembourg,2.5,1
24028,Netherlands,Malaysia,1.0,1
24079,Netherlands,Morocco,1.5,1
24130,Netherlands,Norway,11.0,1
24181,Netherlands,Poland,8.5,1
24232,Netherlands,Portugal,14.0,1
24283,Netherlands,Qatar,2.0,1
24334,Netherlands,Russia,8.5,1
24385,Netherlands,Saudi Arabia,1.5,1
24436,Netherlands,Serbia,1.5,1
24487,Netherlands,Singapore,2.0,1
24538,Netherlands,South Africa,2.0,1
