target,n_cases
Algeria,24.357881370936404
Anguilla,0.0018282580058182824
Argentina,43.959549581904284
Armenia,1.4434096934410172
Aruba,3.9270981947357884
Australia,165.312003460282
Austria,320.78980567122585
Azerbaijan,0.20202250940031535
Bahamas,2.2277323795577675
Bahrain,42.686167924244806
Bangladesh,5.300119964081696
Barbados,6.652116751576106
Belarus,1.4351825320517129
Belgium,249.94480806359707
Belize,0.7751813942862397
Bermuda,7.640290203604035
Bolivia,4.047763221343728
Bosnia and Herzegovina,0.20933554126244844
Brazil,90.07370121916527
British Virgin Islands,0.5914414648524571
Brunei,11.532651544210017
Bulgaria,56.815859815810306
Canada,449.4955131625062
Cape Verde,1.840141679552276
Chile,9.568188267510182
China,31.39484656427304
Colombia,7.475746981376109
Costa Rica,6.930011968342581
Croatia,39.93281129619435
Cyprus,22.041478481088888
Czech Republic,145.67559765291136
Denmark,258.86853535924587
Dominican Republic,0.7870650710657641
Ecuador,2.4014168888029124
Egypt,0.9689767424622628
Estonia,30.538307541823087
Finland,161.99097207810408
France,845.3609049392072
French Polynesia,1.905044843818776
Gambia,3.917956899605886
Georgia,2.0695880594501044
Germany,1561.9667399536538
Gibraltar,0.41318630859329036
Greece,188.60675206898145
Grenada,0.056675998163429164
Guatemala,0.9388104857665023
Guernsey,10.31685990898179
Guinea,0.016454322023693017
Guinea-Bissau,0.4598068876147273
Haiti,0.1727703814834895
Hong Kong,205.67171311261623
Hungary,123.66885606946548
Iceland,79.01182612961614
India,188.60309599785336
Indonesia,30.639776020150144
Iran,1.0119408063977837
Iraq,0.0018282580078778663
Ireland,330.32599944052384
Isle of Man,8.012340696529293
Israel,108.48700162904065
Italy,914.9818837355953
Japan,203.81877369577464
Jersey,14.182711455508827
Jordan,5.189510341363279
Kazakhstan,19.83751347898459
Kenya,1.0283951280299068
Kuwait,0.334571215035779
Kyrgyzstan,2.6482317182767723
Laos,0.00365651602679338
Latvia,75.1103235138601
Lebanon,25.206193102196846
Libya,0.43695366254233425
Lithuania,33.864822978382925
Luxembourg,68.09986822734005
Macau,22.61646574824814
Macedonia,3.672970327085529
Madagascar,0.2349311536820226
Malaysia,125.67536985653257
Maldives,3.5669313703085703
Mali,0.7203336532370833
Malta,50.153687653540615
Martinique,1.2276752493063137
Mauritania,0.21939096030719307
Mexico,58.3744498450427
Moldova,0.0511912240727275
Montenegro,0.0036565160055575785
Morocco,21.516768433320255
Mozambique,0.018282580044639417
Namibia,0.002742387007069769
Nepal,7.687824924154699
Netherlands,558.5309916444108
Netherlands Antilles,2.472718951189573
New Caledonia,0.52379592070271
New Zealand,61.74301544211691
Norway,152.1814537399322
Oman,0.07678683627068021
Pakistan,2.0979260620379248
Palestine,0.0036565160048806816
Panama,3.5248814337149303
Peru,0.8236302310682077
Philippines,90.64594633551592
Poland,288.01462443757765
Portugal,299.72461695632956
Puerto Rico,19.359424019118908
Qatar,137.24001540609902
Reunion,0.310803860686193
Romania,102.42632633634165
Russia,326.41535561285804
Saint Lucia,2.077815222634397
Saint Pierre and Miquelon,0.16271496247789546
Saint Vincent and the Grenadines,2.262469281656902
Saudi Arabia,71.61652260463052
Senegal,13.381934453312654
Serbia,23.825858290434677
Singapore,61.15431634680188
Slovakia,22.30200524397423
Slovenia,14.903045107338933
South Africa,32.99274395019472
South Korea,188.2776664230816
Spain,808.6476558829871
Sri Lanka,13.846312021431963
Suriname,0.041135805061414774
Sweden,285.71010521700765
Switzerland,483.50933858019505
Taiwan,196.6620577539167
Tajikistan,0.13346283420795066
Thailand,96.81174643286413
Trinidad and Tobago,0.04844883714041709
Tunisia,12.318802421478322
Turkey,176.17276944823078
Ukraine,49.86482289375261
United Arab Emirates,352.483572853301
United Kingdom,1722.3625570844472
United States,1131.4988239190584
Uruguay,5.964691738933342
Uzbekistan,3.281723117032575
Venezuela,0.4241558570594171
Vietnam,0.24498657376143582
Virgin Islands,1.5741301429278127
West Bank,0.02559561203596514
Western Sahara,0.001828258002267786
Zambia,7.274638603933758
