Europe & Central Asia (IDA & IBRD countries);1.5403E+12
Togo;1702908076
Thailand;3.28582E+11
Tajikistan;1116258706
Turkmenistan;
Latin America & the Caribbean (IDA & IBRD countries);1.25955E+12
Timor-Leste;121872114.4
Middle East & North Africa (IDA & IBRD countries);4.82532E+11
Tonga;104818106.7
South Asia (IDA & IBRD);6.403E+11
Sub-Saharan Africa (IDA & IBRD countries);4.3932E+11
Trinidad and Tobago;11332990233
Tunisia;19418054051
Turkey;2.37932E+11
Tuvalu;
Tanzania;8394257042
Uganda;5632397702
Ukraine;59135000000
Upper middle income;5.94834E+12
Uruguay;16398211777
United States;2.50131E+12
Uzbekistan;14135137288
St. Vincent and the Grenadines;315981994.9
Venezuela, RB;
British Virgin Islands;
Virgin Islands (U.S.);
Vietnam;2.58488E+11
Vanuatu;517155759.1
World;2.52353E+13
Samoa;305718955.1
Kosovo;2278377701
Yemen, Rep.;
South Africa;1.10068E+11
Zambia;9982606351
Zimbabwe;
