Country,Output-Response-Total cases rate after,Output-Response-Total deaths rate after,Output-CLI percent impact,Output-PMI-ind percent impact,Output-PMI-serv percent impact,Output-PMI-comp percent impact,Average Temperature April,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Day10thDeath,GDP per capita (current US$),"International tourism, number of arrivals","Life expectancy at birth, total (years)",Population,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Prevalence of undernourishment (% of population),Urban population (% of total population),Input-Response-Stringency Index,Input-Response-automotive pollution percent,Input-Response-mobility retail and recreation percent,Input-Response-mobility grocery and pharmacy percent,Input-Response-mobility parks percent,Input-Response-mobility transit stations percent,Input-Response-mobility workplaces percent,Input-Response-mobility residential percent,Continent
Kosovo,1.0773106975031108,1.0769863520789578,,,,,,,,,,108.0,4302.28,,71.95,1845300.0,,,,168.15,,,,,,69.34054882429002,,,,,,,Europe
Kuwait,1.0664439818192273,1.122462048309373,,,,,26.09,14.8,72.4,3.9,1068.32,113.0,33994.41,8508000.0,75.31,4137309.0,21.54,75.91,2.55,232.17,72.25,,2.8,100.0,86.25,,62.40816326530612,41.40816326530613,52.83673469387755,43.163265306122454,50.265306122448976,-26.72108843537415,Asia  
Kyrgyzstan,1.0481696623929937,1.026455199651044,,,,,6.99,9.6,82.7,6.63,72.88,124.0,1281.36,423000.0,71.2,6322800.0,32.35,63.15,4.49,32.93,,,7.1,36.35,87.31000000000002,,74.14285714285714,62.142857142857146,34.142857142857146,71.42857142857143,62.142857142857146,-22.571428571428573,Asia  
Latvia,1.0148621114227359,1.0629350704110543,,,,,6.98,2.7,91.8,6.24,874.2,114.0,17860.62,1946000.0,74.68,1927174.0,16.0,63.96,20.04,30.98,,,2.5,68.14,,,40.377551020408156,18.738095238095237,19.542857142857144,49.84353741496598,40.37092883222505,-14.571428571428571,Europe
Lebanon,1.0303192602520075,1.0691750587796822,,,,,17.76,3.6,90.6,8.02,662.13,90.0,8269.79,1964000.0,78.83,6848925.0,26.1,66.9,7.0,669.49,34.83,53.1,11.0,88.59,89.40999999999998,,66.14285714285714,39.285714285714285,50.285714285714285,79.14285714285714,56.42857142857143,-18.571428571428573,Asia  
Liberia,1.0616925523656133,1.0667530363457054,,,,,27.45,58.5,31.4,9.62,68.31,117.0,677.32,,63.3,4818977.0,41.12,55.62,3.25,50.03,29.43,65.7,37.2,51.15,80.29,,,,,,,,Africa
Lithuania,1.0627147499012102,1.0910552299148752,,,,,7.89,3.6,89.8,6.67,987.95,97.0,19153.41,2825000.0,74.67,2801543.0,14.88,65.41,19.71,44.53,,,2.5,67.68,,,63.649350649350644,28.818181818181817,1.157142857142857,47.199855699855696,44.36363636363637,-17.730952380952377,Europe
Luxembourg,1.1033630006467006,1.12400291164979,3.1955455768427043,,,,10.29,4.9,88.4,6.16,6271.44,88.0,116639.89,1018000.0,82.69,607950.0,15.88,69.94,14.18,250.09,,,2.5,90.98,82.27,,83.0,41.714285714285715,47.142857142857146,72.85714285714286,71.57142857142857,-34.333333333333336,Europe
Macedonia,1.0763632071402927,1.1184446968537218,,,,,11.1,1.9,95.3,6.34,327.84,93.0,6083.72,707000.0,75.59,2082958.0,16.52,69.81,13.67,82.59,,,3.2,57.96,,54.50393301192592,64.85714285714286,29.142857142857142,42.0,64.42857142857143,50.714285714285715,-20.571428571428573,Europe
Malaysia,1.0658934954104884,1.109588260282594,,,,,26.89,17.5,73.6,3.8,361.52,83.0,11373.23,25832000.0,75.83,31528585.0,24.0,69.33,6.67,95.96,23.99,,2.5,76.04,71.02999999999999,,78.0,47.714285714285715,60.714285714285715,79.14285714285714,63.285714285714285,-36.42857142857143,Asia  
