Country,Output-Response-Total cases rate after,Output-Response-Total deaths rate after,Output-CLI percent impact,Output-PMI-ind percent impact,Output-PMI-serv percent impact,Output-PMI-comp percent impact,Average Temperature April,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Day10thDeath,GDP per capita (current US$),"International tourism, number of arrivals","Life expectancy at birth, total (years)",Population,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Prevalence of undernourishment (% of population),Urban population (% of total population),Input-Response-Stringency Index,Input-Response-automotive pollution percent,Input-Response-mobility retail and recreation percent,Input-Response-mobility grocery and pharmacy percent,Input-Response-mobility parks percent,Input-Response-mobility transit stations percent,Input-Response-mobility workplaces percent,Input-Response-mobility residential percent,Continent
Afghanistan,1.0807229692870388,1.1159110629789903,,,,,16.14,36.4,44.1,10.2,57.25,99.0,520.9,,64.13,37172386.0,43.09,54.32,2.58,56.94,10.79,62.7,29.8,25.5,72.36,,44.857142857142854,26.428571428571427,11.714285714285714,46.142857142857146,36.142857142857146,-13.0,Asia  
Albania,1.0700383561666464,1.088478561177457,,,,,12.43,2.9,93.1,6.7,271.54,89.0,5268.85,5340000.0,78.33,2866376.0,17.67,68.58,13.74,104.61,,,6.2,60.32,84.39,,,,,,,,Europe
Algeria,1.1794762558421155,1.184286087735101,,,,,24.12,14.8,75.7,6.65,260.41,81.0,4114.72,2657000.0,76.5,42228429.0,30.15,63.49,6.36,17.73,6.38,11.8,3.9,72.63,47.82857142857142,,,,,,,,Africa
Andorra,1.039689866245736,1.0993380515472166,,,,,10.82,,,10.37,3834.73,92.0,42029.76,3042000.0,,77006.0,,,,163.84,,,,88.06,53.43,,,,,,,,Europe
Argentina,1.0947761833099954,1.1563581530281992,,,,,15.07,15.9,77.6,7.55,955.2,87.0,11683.95,6942000.0,76.37,44494502.0,24.76,64.12,11.12,16.26,43.01,16.7,4.6,91.87,100.0,53.726577092245584,79.50857142857144,53.53142857142857,81.86857142857143,82.22857142857143,60.62285714285714,-27.73142857142857,Americas
Australia,1.1692995532598718,1.0829912819422458,3.599704808973172,,,,22.34,4.6,89.5,9.25,5002.36,86.0,57373.69,9246000.0,82.5,24982688.0,19.19,65.15,15.66,3.25,60.87,,2.5,86.01,39.120000000000005,-24.501123971511483,8.666666666666668,-22.412698412698408,10.555555555555555,16.92063492063492,-3.952380952380953,-3.888888888888889,Oceania
Austria,1.0988558754464925,1.2164161067183221,4.747321352820364,,,,8.24,2.6,92.2,10.44,4688.28,83.0,51461.95,30816000.0,81.64,8840521.0,14.3,66.7,19.0,107.21,21.48,,2.5,58.3,84.79,70.2275600505689,82.79999999999998,38.51428571428572,49.75714285714285,70.55714285714286,58.31428571428571,-23.57619047619048,Europe
Azerbaijan,1.0871052303127238,1.0629350704110543,,,,,11.53,8.8,86.6,6.89,268.16,102.0,4721.18,2633000.0,72.69,9939800.0,23.37,70.44,6.2,120.27,22.99,,2.5,55.68,90.08000000000001,,,,,,,,Asia  
Bahamas,1.0501736410152307,1.0331938343738771,,,,,24.86,16.9,73.9,6.38,1835.23,115.0,32217.87,1633000.0,73.55,385640.0,22.48,70.26,7.26,38.53,,,,83.03,,,75.0,51.285714285714285,61.0,90.0,73.71428571428571,-34.285714285714285,Americas
Bahrain,1.064964842302371,1.026455199651044,,,,,26.5,6.9,83.0,4.87,1099.36,,24050.76,12045000.0,77.03,1569439.0,19.25,78.32,2.43,2017.27,,,,89.29,86.77,,39.857142857142854,15.857142857142858,42.714285714285715,36.57142857142857,24.285714285714285,-16.428571428571427,Asia  
Bangladesh,1.1499148715367016,1.1046650785974952,,,,,28.32,25.6,66.9,2.37,34.22,98.0,1698.26,1026000.0,72.05,161356039.0,27.71,67.14,5.16,1239.58,15.12,55.1,14.7,36.63,86.77428571428572,,69.42857142857143,46.285714285714285,28.0,66.28571428571429,56.857142857142854,-23.428571428571427,Asia  
Barbados,1.0057939265464981,1.0188687080608183,,,,,26.75,13.0,82.8,6.96,1163.84,,17949.28,680000.0,78.98,286641.0,17.34,66.85,15.8,666.61,,,3.9,31.15,90.47000000000001,,76.0,53.285714285714285,65.3452380952381,80.47619047619047,68.07959183673469,-28.428571428571427,Americas
Belarus,1.1707068527845883,1.1424972125983153,,,,,8.59,2.5,90.5,6.32,317.99,98.0,6289.94,11501600.0,74.13,9483499.0,16.87,68.29,14.85,46.73,21.13,,2.5,78.59,,,23.428571428571427,1.8571428571428572,-18.857142857142858,21.142857142857142,21.571428571428573,-6.285714285714286,Europe
Belgium,1.1585731176472602,1.3430709414351039,4.0416834619083915,,,,10.52,7.9,85.7,10.04,4149.39,79.0,47518.64,9119000.0,81.44,11433256.0,17.06,64.16,18.79,377.21,26.98,,2.5,98.0,76.85142857142857,27.211497508939097,71.46428571428571,22.321428571428573,17.5,64.46428571428571,56.964285714285715,-23.142857142857142,Europe
Bermuda,1.0392592260318434,1.0101804470869786,,,,,,,,,,,85748.07,282000.0,81.44,63973.0,,,,1184.59,,,,100.0,94.71000000000001,,,,,,,,Americas
Bolivia,1.0850463428624049,1.0955262858821,,,,,21.45,22.4,64.5,6.86,213.02,95.0,3548.59,1142000.0,70.94,11353142.0,31.07,61.73,7.19,10.48,41.34,43.5,17.1,69.42,94.17999999999999,82.27830403020027,86.85714285714286,75.42857142857143,80.71428571428571,85.28571428571429,77.28571428571429,-38.714285714285715,Americas
Bosnia and Herzegovina,1.082633540723508,1.1208843648547335,,,,,11.62,1.8,94.5,9.23,443.78,92.0,6065.67,1053000.0,77.13,3323929.0,14.77,68.76,16.47,64.92,,,2.5,48.24,87.71000000000001,45.286757038581854,70.0,40.142857142857146,23.428571428571427,59.57142857142857,50.57142857142857,-18.0,Europe
Brazil,1.173906564864587,1.2765180070092417,5.880663022941164,29.411764705882348,48.007590132827325,49.23371647509579,25.41,13.9,73.9,11.77,1015.93,81.0,8920.76,6621000.0,75.46,209469333.0,21.33,69.74,8.92,25.06,41.95,22.3,2.5,86.57,67.17428571428572,17.736174093684273,64.23469387755102,24.97448979591837,55.50000000000001,55.867346938775505,38.632653061224495,-17.39795918367347,Americas
Bulgaria,1.0435530453173316,1.0935324295604598,,,,,11.09,2.2,95.2,8.23,612.48,93.0,9272.63,9273000.0,74.81,7025037.0,14.6,64.38,21.02,64.7,18.11,,3.6,75.01,75.29714285714284,54.126341720922035,57.600985221674875,31.3743842364532,38.83247404224847,54.62038199895343,37.5615763546798,-16.50937054663763,Europe
Burkina Faso,1.0616088325588027,1.0691750587796822,,,,,32.82,56.3,32.7,6.75,40.94,91.0,715.12,144000.0,60.77,19751535.0,44.95,52.64,2.41,72.19,12.82,65.8,20.0,29.36,88.75,,30.142857142857142,23.571428571428573,15.571428571428571,45.0,18.285714285714285,-19.428571428571427,Africa
Cameroon,1.0966656595170041,1.072077058178298,,,,,26.78,53.9,35.2,4.69,64.47,100.0,1533.74,1081000.0,58.51,25216237.0,42.63,54.64,2.73,53.34,28.03,37.8,9.9,56.37,60.3142857142857,,25.142857142857142,17.142857142857142,19.714285714285715,22.857142857142858,14.857142857142858,-10.714285714285714,Africa
Canada,1.1873560382360995,1.191356549332346,2.116261052324944,,,,-5.17,5.6,88.3,10.53,4458.21,80.0,46232.99,21134000.0,82.25,37057765.0,15.87,66.9,17.23,4.08,45.93,,2.5,81.41,71.22857142857143,29.49567890344314,40.28885400313972,9.274725274725274,-3.6999999999999993,47.931168831168826,38.30612244897959,-15.66103896103896,Americas
Chad,,,,,,,30.98,63.4,27.3,4.54,31.69,124.0,728.34,87000.0,53.71,15477751.0,47.13,50.39,2.48,12.29,8.55,88.2,37.5,23.06,37.81285714285714,,,,,,,,Africa
Chile,1.0894429161983272,1.1681303960186993,1.5117242985570272,,,,10.14,8.1,84.7,8.53,1190.55,92.0,15923.36,5723000.0,79.91,18729160.0,19.75,68.72,11.53,25.19,35.67,9.0,2.7,87.56,80.19714285714284,-33.177365111858435,62.81512605042017,40.60504201680673,62.57142857142857,62.42016806722689,41.66386554621848,-23.24190676270508,Americas
China,1.2763840635751837,1.2958504951233958,1.6408523760457001,3.3268101761252495,14.285714285714278,8.285163776493249,9.29,3.8,89.3,4.98,398.33,22.0,9770.85,62900000.0,76.47,1392730000.0,17.88,71.2,10.92,148.35,27.89,25.2,8.6,59.15,39.88285714285714,27.98381086108227,,,,,,,Asia  
Colombia,1.1010234120659814,1.17478863365869,,,,,25.37,10.1,74.8,5.91,340.37,90.0,6667.79,3904000.0,76.92,49648685.0,23.08,68.44,8.48,44.75,43.9,13.1,4.8,80.78,84.26,34.722014086617726,79.08899769585254,58.839170506912446,68.95535714285714,78.0676923076923,62.65092165898618,-29.33252747252747,Americas
Costa Rica,1.008066262733299,1.0,,,,,27.3,6.4,83.3,7.56,888.85,,12027.37,3017000.0,79.91,4999441.0,21.32,69.13,9.55,97.91,27.16,5.5,4.8,79.34,74.92428571428572,,52.714285714285715,33.57142857142857,57.142857142857146,55.42857142857143,37.857142857142854,-19.857142857142858,Americas
Cote d'Ivoire,1.0436260972765106,1.0588687049673502,,,,,,52.4,37.2,4.4,67.57,112.0,1715.53,1965000.0,57.02,25069229.0,41.94,55.2,2.86,78.83,19.63,56.0,19.0,50.78,0.0,,32.57142857142857,19.428571428571427,24.428571428571427,35.142857142857146,23.571428571428573,-17.571428571428573,Africa
Croatia,1.0543739779115666,1.106679233267917,,,,,12.8,2.3,92.4,7.18,884.49,96.0,14909.69,16645000.0,77.83,4087843.0,14.51,65.04,20.45,73.08,,,2.5,56.95,97.35000000000001,69.13090080161832,72.26623376623378,43.025974025974016,28.522893772893774,72.5873349339736,53.46753246753247,-20.915079365079368,Europe
Cuba,1.0930735246535326,1.0955262858821,,,,,25.45,8.4,83.7,12.19,970.65,99.0,8821.82,4684000.0,78.66,11338138.0,16.21,68.6,15.19,109.0,18.84,,2.5,77.04,66.84142857142857,,,,,,,,Americas
Cyprus,1.0813430632248704,1.0703519546620164,,,,,17.77,4.1,91.1,6.88,1634.43,95.0,28159.3,3939000.0,80.67,1189265.0,16.79,69.49,13.72,128.71,,,5.6,66.81,94.71000000000001,79.06501052381941,,,,,,,Asia  
Czech Republic,1.0732290702617575,1.185835257908528,7.7680965987544255,,,,9.81,5.4,89.9,7.15,1321.62,89.0,23078.57,10611000.0,79.48,10629928.0,15.59,64.99,19.42,137.6,12.15,,2.5,73.79,83.07000000000001,31.450184612613686,63.990476190476194,18.552380952380954,-1.828571428571428,55.41904761904762,38.38095238095239,-17.40952380952381,Europe
Democratic Republic of Congo,1.0855095566888062,1.072077058178298,,,,,24.76,61.7,28.0,3.87,20.52,93.0,561.78,351000.0,60.03,84068091.0,46.17,50.82,3.02,37.08,24.1,74.8,,44.46,85.85000000000001,,,,,,,,Africa
Denmark,1.0769206551329618,1.2076132700741846,3.5158466418029377,,,,8.16,6.5,89.7,10.35,5565.59,82.0,61350.35,12749000.0,81.0,5793636.0,16.46,63.73,19.81,138.07,22.78,,2.5,87.87,84.12,30.561716923445825,37.452380952380956,19.690476190476193,-72.57142857142857,57.666666666666664,46.357142857142854,-16.357142857142854,Europe
Dominican Republic,1.12548959194823,1.184286087735101,,,,,25.74,15.8,72.3,6.16,414.18,86.0,8050.63,6569000.0,73.69,10627165.0,27.98,64.94,7.08,219.98,29.85,12.1,9.5,81.07,92.72000000000001,,76.0,55.142857142857146,66.14285714285714,82.57142857142857,69.85714285714286,-30.428571428571427,Americas
Ecuador,1.128391151491861,1.2016394693692471,,,,,22.77,15.1,72.2,8.39,504.78,83.0,6344.87,2535000.0,76.58,17084357.0,28.03,64.81,7.16,68.79,27.63,36.0,7.9,63.82,95.37,,84.28571428571429,65.14285714285714,79.57142857142857,83.0,77.42857142857143,-36.42857142857143,Americas
Egypt,1.093841643411072,1.1424972125983153,,,,,24.25,10.2,84.1,4.64,130.99,83.0,2549.13,11196000.0,71.66,98423595.0,33.8,60.97,5.23,98.87,25.57,10.6,4.5,42.7,59.97571428571428,,37.55612244897959,16.736263736263737,32.88314041031432,39.61224489795918,19.821428571428573,-10.878977544194935,Africa
El Salvador,1.0607967215546632,1.026455199651044,,,,,26.9,10.8,73.8,6.96,293.87,122.0,4058.25,1677300.0,72.87,6420744.0,27.13,64.58,8.29,309.88,17.24,28.9,9.0,72.02,92.06000000000002,,78.14285714285714,57.0,70.57142857142857,73.71428571428571,69.0,-33.57142857142857,Americas
Estonia,1.0375303181907303,1.119268002708436,-1.4121852513284665,,,,5.7,2.8,92.7,6.68,1185.33,94.0,23266.35,3234000.0,77.64,1321977.0,16.36,64.02,19.63,30.39,,,2.9,68.88,80.29,44.999999999999986,50.91428571428571,19.452380952380956,-15.74047619047619,41.05612244897959,41.58571428571428,-16.428571428571427,Europe
Ethiopia,,,,,,,25.15,49.0,39.3,3.97,27.52,,772.31,849000.0,65.87,109224559.0,40.78,55.72,3.5,109.22,4.03,73.9,20.6,20.76,76.19,,,,,,,,Africa
Finland,1.0627234699975667,1.1257210217704403,0.4784345325467001,,,,1.36,1.3,93.2,9.49,4117.26,90.0,50152.34,3224000.0,81.43,5515525.0,16.15,62.13,21.72,18.16,23.18,,2.5,85.38,75.13,39.56473214285713,48.225563909774436,17.19548872180451,-25.93888676682794,55.7109962406015,38.69924812030075,-13.819441460794845,Europe
France,1.2237185719412325,1.2888366604378085,6.520509913657193,38.35616438356165,80.0,78.27788649706457,10.77,6.0,87.6,11.54,4263.36,68.0,41463.64,89322000.0,82.52,66977107.0,17.96,62.01,20.03,122.34,22.76,,2.5,80.44,29.759999999999998,39.81554069802835,3.3877551020408165,-2.326530612244898,-5.459183673469388,2.489795918367347,1.153061224489796,-1.5408163265306123,Europe
Gabon,,,,,,,25.96,49.9,41.0,3.11,220.35,,7952.53,269000.0,65.84,2119275.0,37.03,59.41,3.56,8.22,,37.0,10.5,89.37,76.73,,,,,,,,Africa
Georgia,,,,,,,8.62,2.7,93.7,8.44,308.03,130.0,4717.14,4757000.0,73.41,3726549.0,19.8,65.34,14.87,65.28,28.88,,7.9,58.63,,,71.28571428571429,48.42857142857143,30.428571428571427,65.0,61.142857142857146,-21.285714285714285,Asia  
Germany,1.193617684343387,1.2848003105455028,5.248947125900187,23.841059602648997,70.11070110701107,66.015625,9.71,4.8,91.2,11.14,4714.26,76.0,47603.03,38881000.0,80.99,82905782.0,13.62,64.92,21.46,237.37,9.58,,2.5,77.31,46.30142857142857,5.659183617562226,19.369747899159666,-10.747899159663865,-35.21008403361345,26.61344537815126,16.672268907563026,-7.0,Europe
Ghana,1.0872929090496135,1.026455199651044,,,,,29.37,47.5,42.7,4.45,67.51,116.0,2202.31,897000.0,63.46,29767108.0,37.6,59.34,3.07,130.82,18.49,37.9,5.5,56.06,81.23857142857143,,48.142857142857146,37.57142857142857,29.285714285714285,52.285714285714285,39.0,-24.142857142857142,Africa
Greece,1.082530618885042,1.146961923088153,2.5938181900649653,,,,13.98,10.9,86.2,8.45,1510.67,82.0,20324.25,30123000.0,81.39,10731726.0,14.07,64.27,21.66,83.22,29.42,,2.5,79.06,76.24285714285713,4.060150375939857,68.41071428571429,8.714285714285714,34.607142857142854,59.42857142857143,48.19642857142857,-19.232142857142858,Europe
Guam,1.0048106795750316,1.0,,,,,27.5,,,,,,35712.56,1549000.0,79.63,165768.0,24.46,65.69,9.85,306.98,,,,94.78,77.64999999999999,,,,,,,,Oceania
Guatemala,1.0761941475604972,1.0667530363457054,,,,,25.23,25.1,59.2,5.82,241.35,114.0,4549.01,1781000.0,73.81,17247807.0,34.44,60.75,4.81,160.95,16.53,34.5,15.2,51.05,95.37142857142858,,59.42857142857143,38.285714285714285,49.285714285714285,68.57142857142857,45.142857142857146,-26.428571428571427,Americas
Guinea,1.066855308844651,1.0447767086866702,,,,,29.14,55.7,35.1,5.48,37.46,127.0,878.6,99000.0,60.71,12414318.0,43.85,53.22,2.93,50.52,14.85,43.3,16.5,36.14,,,,,,,,,Africa
Guyana,1.0462898667659062,1.0188687080608183,,,,,26.81,20.0,67.6,4.24,192.27,127.0,4979.0,287000.0,69.62,779004.0,28.21,65.34,6.45,3.96,,33.1,8.1,26.61,91.34,,,,,,,,Americas
