pais,valor_semana,dia_semana,voos_soma
Argentina,17,0,24.0
Argentina,17,1,28.0
Argentina,17,2,23.0
Argentina,17,3,23.0
Argentina,17,4,20.0
Argentina,17,5,22.0
Argentina,17,6,15.0
Argentina,18,0,18.0
Argentina,18,1,14.0
Argentina,18,2,32.0
Argentina,18,3,17.0
Argentina,18,4,22.0
Argentina,18,5,21.0
Argentina,18,6,13.0
Argentina,19,0,20.0
Argentina,19,1,28.0
Argentina,19,2,39.0
Argentina,19,3,39.0
Argentina,19,4,26.0
Argentina,19,5,16.0
Argentina,19,6,17.0
Argentina,20,0,26.0
Argentina,20,1,41.0
Argentina,20,2,32.0
Argentina,20,3,33.0
Argentina,20,4,30.0
Argentina,20,5,21.0
Argentina,20,6,13.0
Argentina,21,0,45.0
Argentina,21,1,28.0
Argentina,21,2,36.0
Argentina,21,3,30.0
Argentina,21,4,33.0
Argentina,21,5,38.0
Argentina,21,6,15.0
Argentina,22,0,29.0
Argentina,22,1,36.0
Argentina,22,2,50.0
Argentina,22,3,33.0
Armenia,1,2,58.0
Armenia,1,3,59.0
Armenia,1,4,58.0
Armenia,1,5,67.0
Armenia,1,6,69.0
Armenia,2,0,74.0
Armenia,2,1,71.0
Armenia,2,2,62.0
Armenia,2,3,64.0
Armenia,2,4,62.0
Armenia,2,5,72.0
Armenia,2,6,59.0
Armenia,3,0,55.0
Armenia,3,1,44.0
Armenia,3,2,61.0
Armenia,3,3,52.0
Armenia,3,4,52.0
Armenia,3,5,47.0
Armenia,3,6,51.0
Armenia,4,0,58.0
Armenia,4,1,52.0
Armenia,4,2,46.0
Armenia,4,3,56.0
Armenia,4,4,47.0
Armenia,4,5,57.0
Armenia,4,6,48.0
Armenia,5,0,50.0
Armenia,5,1,51.0
Armenia,5,2,48.0
Armenia,5,3,41.0
Armenia,5,4,54.0
Armenia,5,5,60.0
Armenia,5,6,56.0
Armenia,6,0,57.0
Armenia,6,1,51.0
Armenia,6,2,43.0
Armenia,6,3,25.0
Armenia,6,4,16.0
Armenia,6,5,51.0
Armenia,6,6,55.0
Armenia,7,0,49.0
Armenia,7,1,53.0
Armenia,7,2,43.0
Armenia,7,3,53.0
Armenia,7,4,59.0
Armenia,7,5,61.0
Armenia,7,6,36.0
Armenia,8,0,64.0
Armenia,8,1,58.0
Armenia,8,2,46.0
Armenia,8,3,48.0
Armenia,8,4,54.0
Armenia,8,5,60.0
Armenia,8,6,54.0
