,org,dest,week_value,pct_loss
145,Algeria,Qatar,6,0.6097560975609756
146,Algeria,Qatar,7,0.4146341463414634
147,Algeria,Qatar,8,0.6097560975609756
148,Algeria,Qatar,9,0.6097560975609756
149,Algeria,Qatar,10,1.0
150,Algeria,Qatar,11,0.6097560975609756
151,Algeria,Qatar,12,1.0
152,Algeria,Qatar,13,1.0
153,Algeria,Qatar,14,1.0
154,Algeria,Qatar,15,1.0
155,Algeria,Qatar,16,1.0
156,Algeria,Qatar,17,1.0
157,Algeria,Qatar,18,0.8048780487804879
158,Algeria,Qatar,19,0.8048780487804879
159,Algeria,Qatar,20,0.8048780487804879
160,Algeria,Qatar,21,1.0
161,Algeria,Qatar,22,1.0
162,Algeria,Senegal,5,-0.5714285714285714
163,Algeria,Senegal,6,0.0
164,Algeria,Senegal,7,0.7142857142857143
165,Algeria,Senegal,8,0.2857142857142857
166,Algeria,Senegal,9,-0.14285714285714285
167,Algeria,Senegal,10,0.14285714285714285
168,Algeria,Senegal,11,-0.14285714285714285
169,Algeria,Senegal,12,0.42857142857142855
170,Algeria,Senegal,13,1.0
171,Algeria,Senegal,14,1.0
172,Algeria,Senegal,15,1.0
173,Algeria,Senegal,16,1.0
174,Algeria,Senegal,17,1.0
175,Algeria,Senegal,18,1.0
176,Algeria,Senegal,19,1.0
177,Algeria,Senegal,20,1.0
178,Algeria,Senegal,21,1.0
179,Algeria,Senegal,22,1.0
180,Algeria,Spain,5,0.09163346613545817
181,Algeria,Spain,6,-0.099601593625498
182,Algeria,Spain,7,0.2350597609561753
183,Algeria,Spain,8,-0.06772908366533864
184,Algeria,Spain,9,-0.30677290836653387
185,Algeria,Spain,10,0.05976095617529881
186,Algeria,Spain,11,-0.035856573705179286
187,Algeria,Spain,12,1.0
188,Algeria,Spain,13,1.0
189,Algeria,Spain,14,0.952191235059761
190,Algeria,Spain,15,0.9681274900398407
191,Algeria,Spain,16,1.0
192,Algeria,Spain,17,1.0
193,Algeria,Spain,18,1.0
194,Algeria,Spain,19,0.9681274900398407
195,Algeria,Spain,20,1.0
196,Algeria,Spain,21,0.9681274900398407
197,Algeria,Spain,22,1.0
198,Algeria,Switzerland,5,0.3142857142857143
199,Algeria,Switzerland,6,-0.2571428571428571
200,Algeria,Switzerland,7,0.2
201,Algeria,Switzerland,8,0.3142857142857143
202,Algeria,Switzerland,9,-0.02857142857142857
203,Algeria,Switzerland,10,0.2
204,Algeria,Switzerland,11,0.3142857142857143
205,Algeria,Switzerland,12,0.6571428571428571
206,Algeria,Switzerland,13,1.0
207,Algeria,Switzerland,14,1.0
208,Algeria,Switzerland,15,1.0
209,Algeria,Switzerland,16,1.0
210,Algeria,Switzerland,17,1.0
211,Algeria,Switzerland,18,1.0
212,Algeria,Switzerland,19,1.0
213,Algeria,Switzerland,20,1.0
214,Algeria,Switzerland,21,1.0
215,Algeria,Switzerland,22,1.0
216,Algeria,Turkey,5,-3.0
217,Algeria,Turkey,6,1.0
218,Algeria,Turkey,7,1.0
219,Algeria,Turkey,8,1.0
220,Algeria,Turkey,9,-3.0
221,Algeria,Turkey,10,1.0
222,Algeria,Turkey,11,1.0
223,Algeria,Turkey,12,1.0
224,Algeria,Turkey,13,1.0
225,Algeria,Turkey,14,1.0
226,Algeria,Turkey,15,1.0
227,Algeria,Turkey,16,1.0
228,Algeria,Turkey,17,1.0
229,Algeria,Turkey,18,1.0
230,Algeria,Turkey,19,1.0
231,Algeria,Turkey,20,1.0
232,Algeria,Turkey,21,1.0
233,Algeria,Turkey,22,1.0
234,Algeria,United Arab Emirates,5,0.13513513513513514
235,Algeria,United Arab Emirates,6,0.13513513513513514
236,Algeria,United Arab Emirates,7,-0.08108108108108109
237,Algeria,United Arab Emirates,8,-0.1891891891891892
238,Algeria,United Arab Emirates,9,-0.08108108108108109
239,Algeria,United Arab Emirates,10,0.6756756756756757
240,Algeria,United Arab Emirates,11,0.4594594594594595
241,Algeria,United Arab Emirates,12,1.0
242,Algeria,United Arab Emirates,13,1.0
243,Algeria,United Arab Emirates,14,1.0
244,Algeria,United Arab Emirates,15,0.5675675675675675
245,Algeria,United Arab Emirates,16,0.7837837837837838
246,Algeria,United Arab Emirates,17,1.0
247,Algeria,United Arab Emirates,18,1.0
248,Algeria,United Arab Emirates,19,1.0
249,Algeria,United Arab Emirates,20,1.0
250,Algeria,United Arab Emirates,21,1.0
251,Algeria,United Arab Emirates,22,1.0
252,Algeria,United Kingdom,5,-0.2631578947368421
253,Algeria,United Kingdom,6,-0.05263157894736842
254,Algeria,United Kingdom,7,0.5087719298245614
255,Algeria,United Kingdom,8,0.43859649122807015
256,Algeria,United Kingdom,9,-0.3333333333333333
257,Algeria,United Kingdom,10,0.2982456140350877
258,Algeria,United Kingdom,11,-0.19298245614035087
259,Algeria,United Kingdom,12,0.6491228070175439
260,Algeria,United Kingdom,13,1.0
261,Algeria,United Kingdom,14,1.0
262,Algeria,United Kingdom,15,1.0
263,Algeria,United Kingdom,16,1.0
264,Algeria,United Kingdom,17,1.0
265,Algeria,United Kingdom,18,1.0
266,Algeria,United Kingdom,19,1.0
267,Algeria,United Kingdom,20,1.0
268,Algeria,United Kingdom,21,1.0
269,Algeria,United Kingdom,22,0.8596491228070176
270,Argentina,Australia,5,-0.6
271,Argentina,Australia,6,1.0
272,Argentina,Australia,7,1.0
273,Argentina,Australia,8,1.0
274,Argentina,Australia,9,-1.4
275,Argentina,Australia,10,-0.6
276,Argentina,Australia,11,-1.4
277,Argentina,Australia,12,1.0
278,Argentina,Australia,13,1.0
279,Argentina,Australia,14,1.0
280,Argentina,Australia,15,1.0
281,Argentina,Australia,16,1.0
282,Argentina,Australia,17,1.0
283,Argentina,Australia,18,1.0
284,Argentina,Australia,19,1.0
285,Argentina,Australia,20,1.0
286,Argentina,Australia,21,1.0
287,Argentina,Australia,22,1.0
288,Argentina,Bolivia,5,-0.4482758620689655
289,Argentina,Bolivia,6,-0.3103448275862069
290,Argentina,Bolivia,7,-0.2413793103448276
291,Argentina,Bolivia,8,-0.2413793103448276
292,Argentina,Bolivia,9,-0.3103448275862069
293,Argentina,Bolivia,10,0.1724137931034483
294,Argentina,Bolivia,11,-0.5172413793103449
295,Argentina,Bolivia,12,0.2413793103448276
296,Argentina,Bolivia,13,1.0
297,Argentina,Bolivia,14,1.0
298,Argentina,Bolivia,15,1.0
299,Argentina,Bolivia,16,1.0
300,Argentina,Bolivia,17,1.0
301,Argentina,Bolivia,18,1.0
302,Argentina,Bolivia,19,0.8620689655172413
303,Argentina,Bolivia,20,0.7931034482758621
304,Argentina,Bolivia,21,0.8620689655172413
305,Argentina,Bolivia,22,0.9310344827586207
306,Argentina,Brazil,5,-0.6539050535987749
307,Argentina,Brazil,6,-0.9356814701378254
308,Argentina,Brazil,7,-1.3032159264931087
309,Argentina,Brazil,8,-1.4563552833078102
310,Argentina,Brazil,9,-0.8254211332312404
311,Argentina,Brazil,10,0.11179173047473201
312,Argentina,Brazil,11,-0.7886676875957122
313,Argentina,Brazil,12,-0.9173047473200613
314,Argentina,Brazil,13,0.9264931087289433
315,Argentina,Brazil,14,0.9081163859111792
316,Argentina,Brazil,15,0.9142419601837672
317,Argentina,Brazil,16,0.9203675344563553
318,Argentina,Brazil,17,0.8836140888208269
319,Argentina,Brazil,18,0.9019908116385911
320,Argentina,Brazil,19,0.8713629402756509
321,Argentina,Brazil,20,0.877488514548239
322,Argentina,Brazil,21,0.7978560490045942
323,Argentina,Brazil,22,0.889739663093415
324,Argentina,Canada,5,-0.7142857142857143
325,Argentina,Canada,6,-0.5238095238095238
326,Argentina,Canada,7,-1.0952380952380953
327,Argentina,Canada,8,-1.6666666666666667
328,Argentina,Canada,9,-0.7142857142857143
329,Argentina,Canada,10,0.047619047619047616
330,Argentina,Canada,11,0.047619047619047616
331,Argentina,Canada,12,-0.7142857142857143
332,Argentina,Canada,13,1.0
333,Argentina,Canada,14,1.0
334,Argentina,Canada,15,1.0
335,Argentina,Canada,16,1.0
336,Argentina,Canada,17,1.0
337,Argentina,Canada,18,1.0
338,Argentina,Canada,19,1.0
339,Argentina,Canada,20,1.0
340,Argentina,Canada,21,1.0
